Language,Countries,Particularities,Greeting
Sesotho,"Lesotho, South Africa",Plural,Mmorong
French,"Europe, Africa, Canada",Rarely used,Bon matin
Hawaiian,Hawaii,Rarely used,Aloha kakahiaka
Hmong Daw,"Laos, Thailand",Rarely used,Nyob zoo thaum sawv ntxov
Hmong Daw,"Laos, Thailand",Rarely used,Nyob zoo thaum tavsu
Fon,"Benin, Togo",Reply,"Een, un fon gangi"
Fon,"Benin, Togo",Reply,"Een, un damlo gangi"
Kituba,Congo,Reply,Mbote
Lingala,Congo,Reply,Mbote
Rutoro,Uganda,Reply,Ndeire kurungi
Shambaa,Tanzania,Reply,"Ni vedi, hangize wako"
Dyula,West Africa,Reply,Hèrè dron
Hausa,West Africa,Reply,Lapiyalo
Saramaccan,Suriname,Reply,Mi weki e
Yoruba,West Africa,Same age or younger,Ku aro
Kwanyama,"Angola, Namibia",Singular,Wa shilwa?
Mandinka,West Africa,Singular,I saama
Romani,Central Europe,Sinte,Lashi de tehara
Romani,Central Europe,Sinte,Dobroj tume
Romani,Bulgaria,Sliven,Bahtali ti avin
Romani,Bulgaria,Sofia Erli,Lachshí tí yavin
Norwegian,Sortland Norway,Sortlandsk,Go'mårra
German,Zurich Switzerland,Spoken language,Gu-ëte Morgë
German,Bern Switzerland,Spoken language,Gu-ete Morge
German,Zurich Switzerland,Spoken language,Gu-etä Morge
German,Germany,Südhessisch,Moin
Yitchogo,Gabon,To a woman,Yi maram bouga
Amharic,Ethiopia,To a woman,Indemin addersh
Amharic,Ethiopia,To a man,Indemin adderk
Tigrinya,Ethiopia,To a man,Dehan haderka
Chishona,Southern Africa,To men,Mangwánaní babá
Yoruba,West Africa,To an older person,E ku aro
Asante,Ghana,To one person,Maakyé
Icetot,Uganda,To one person,Epida
Amharic,Ethiopia,To several people,Indemin adderachihu
Asante,Ghana,To several people,Memá mo akyé
Bambara,Mali,To several people,Aw ni sogoma
Icetot,Uganda,To several people,Epita
Tigrinya,Ethiopia,To a woman,Dehan haderki
Chishona,Southern Africa,To women,Mangwánaní mái
Japanese,Northeast Japan,Tohoku Ben,Ohayo-sama
Sorbian,Eastern Germany,Upper Sorbian,Dobre spodobanje
Sorbian,Eastern Germany,Upper Sorbian,Dobre ranje
Low Saxon,Germany,Westphalian,Gueden Muorgn
Adyghe,North-West Caucasus,,Wipchadiz shoo
Adyghe,North-West Caucasus,,Femahoophoh
Afrikaans,Southern Africa,,Goeie môre
Aklanon,Philippines,,Mayad nga agahon
Aklanon,Philippines,,Mayad-ayad nga agahon
Albanian,"Albania, Yugoslavia",,Mirëmëngjes
Anglo-Saxon,England,,God morgen
Arabic,Egypt,,Sabar el rir
Arabic,Egypt,,SabaaH el kheer
Arabic,Lebanon,,Sabah el-khayr
Arabic,Morocco,,Sbah lkhir
Arabic,"North Africa, Middle East",,Sabaah al-khayr
Aragonese,Aragon Spain,,Buen diya
Armenian,Western Armenia,,Pari luis
Armenian,Eastern Armenia,,Bari luis
Aromunian,"Greece, Balkans",,Bunã dimineatsa
Asturian,Spain,,Bonos díes
Asturian,Spain,,Bon día
Atayal,Taiwan,,Zibok su'
Aymará,"Bolivia, Peru, Chile",,Winus tiyas
Aymará,"Bolivia, Peru, Chile",,Aski churatam
Azerbaijani,Azerbaijan,,Sabahiniz xeyir
Azerbaijani,Iran,,Sahariz xeyir
Bakitara,Central Africa,,Oirwota?
Bakweri,Cameroon,,O wusi
Bambara,Mali,,I ni sogoma
Bashkir,Russia,,Kheyerle irte
Basque,"Spain, France",,Egun on
Belorussian,Belarus,,Dobraj ranicy
Belorussian,Belarus,,Dobraha ranku
Bemba,"Zambia, Zaire",,Mwashibukeni
Bengali,"Bangladesh, India",,Shubho shokal
Bengali,"Bangladesh, India",,Shu pravat
Bislama,Vanuatu,,Gud morning
Bislama,Vanuatu,,Mone
Bole,Nigeria,,Barka saato
Bole,Nigeria,,Yawwa
Bosnian,Bosnia and Hercegovina,,Sabah hajrula
Bosnian,Bosnia and Hercegovina,,Dobro jutro
Brigidian,Western Ireland,,Mornez mahaha
Bulgarian,Bulgaria,,Dobro utro
Cantonese,China,,Zan san
Cantonese,China,,Jo san
Cassubian,Northweast Poland,,Dzén dobri
Catalan,"Andorra, Spain, France",,Bon dia
Cebuano,Philippines,,Maayong buntag
Chamorro,"Guam, Mariana Island",,Oga'an maolek
Chamorro,"Guam, Mariana Island",,Buenas dihas
Chatino,Tataltepec Mexico,,Cua nque' msaa
Chechen,North Caucasus Russia,,Cürea dika yoila
Chechen,North Caucasus Russia,,'Yyr dik joil
Cherokee,Oklahoma & North Carolina USA,,Os-da-su-na-le
Cheyenne,United States,,Pévevóona'o
Chinyanja,Southern Africa,,Mwadzuka bwanji
Chinyanja,Southern Africa,,Mwauka bwanji
Chishona,South Africa,,Mangwánaní
Chishona,Southern Africa,,Mangwánaní
Chitonga,Africa,,Mwabuka buti
Choctaw,United States,,Onnahinli pvt achukma
Chuuk,Chuuk Island Micronesia,,Neesor ánnim
Chuvash,Russia,,Yra ir pultar
Comoran,Comoros,,Habhari za asubhwihi
Comoran,Comoros,,Bariza soubouni
Cornish,Great Britain,,Myttin da
Creole,Dominica,,Bon jou
Croatian,"Croatia, Bosnia",,Dobro jutro
Czech,Czech Republic,,Dobré ráno
Czech,Czech Republic,,Dobré jitro
Dagaare,"Ghana, Burkina Faso",,Fo angsoma
Dagaare,"Ghana, Burkina Faso",,Ye angsoma
Dagaare,"Ghana, Burkina Faso",,Fo gaao be song?
Damal,Indonesia,,Amole
Danish,"Denmark, Greenland",,God morgen
Danish,Jutland,,Mojn
Dhivehi,Maldives,,Baajja veri hendhuneh
Dusun,Sabah Malaysia,,Kopisanangan dongkosuabon
Dutch,Netherlands,,Goedemorgen
Dyula,"Burkina Faso, C. d'Ivoire, Mali",,I ni sogoma
Edo,Nigeria,,Ób'ówie
Ekegusii,Kenya,,Bwakire buya
Enga,Papua New Guinea,,Yongáma
Enga,Papua New Guinea,,Yongámo
English,"America, Australia, UK",,Good morning
Esperanto,international use,,Bonan matenon
Estonian,Estonia,,Tere hommikust
Eton,Cameroon,,Mbe mbe kiri
Ewe,"Ghana, Togo",,Mudobo
Ewe,"Ghana, Togo",,Neefon
Faroese,Faroe Islands,,Goðan morgun
Farsi,"Iran, Afghanistan, Pakistan",,Sobh beh'khayr
Fijian,Fiji,,Yadra
Fijian,Fiji,,Ni sa yadra
Finnish,Finland,,Hyvää huomenta
Fon,"Benin, Togo",,Kudo zan zan
